zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
46410,2021-09-02,37813,16848,0.445561050432391
46501,2021-09-02,3613,1172,0.324384168281207
46502,2021-09-02,58,0,0
46504,2021-09-02,3735,999,0.267469879518072
46506,2021-09-02,9700,3377,0.348144329896907
46507,2021-09-02,9434,3443,0.364956540173839
46508,2021-09-02,113,52,0.460176991150443
46510,2021-09-02,3924,874,0.222731906218145
46511,2021-09-02,4308,2194,0.509285051067781
46514,2021-09-02,41616,17266,0.414888504421376
46516,2021-09-02,31329,12093,0.386000191515848
46517,2021-09-02,26468,8773,0.331456853559015
46524,2021-09-02,2124,403,0.189736346516008
46526,2021-09-02,33117,14272,0.43095691034816
46528,2021-09-02,27001,8749,0.324025036109774
46530,2021-09-02,31843,19561,0.614295135508589
46531,2021-09-02,1579,410,0.25965801139962
46532,2021-09-02,1531,606,0.395819725669497
46534,2021-09-02,11686,3727,0.318928632551771
46536,2021-09-02,3209,1263,0.393580554689935
46537,2021-09-02,425,167,0.392941176470588
46538,2021-09-02,4169,1653,0.396497961141761
46539,2021-09-02,2802,636,0.226980728051392
46540,2021-09-02,11881,2995,0.252083157983335
46542,2021-09-02,4142,1240,0.299372283920811
46543,2021-09-02,3553,533,0.150014072614692
46544,2021-09-02,31988,14084,0.440290108790797
46545,2021-09-02,24685,12597,0.510309904800486
46550,2021-09-02,12624,2660,0.210709759188847
46552,2021-09-02,6907,2967,0.429564210221514
46553,2021-09-02,3240,949,0.292901234567901
46554,2021-09-02,4878,1781,0.365108651086511
46555,2021-09-02,2406,1002,0.41645885286783
46556,2021-09-02,7301,6101,0.835638953568004
46561,2021-09-02,13615,6157,0.452221814175542
46562,2021-09-02,5010,1450,0.289421157684631
46563,2021-09-02,23664,9200,0.388776200135227
46565,2021-09-02,8642,909,0.105183985188614
46567,2021-09-02,9162,3495,0.381466928618206
46570,2021-09-02,833,301,0.361344537815126
46571,2021-09-02,5682,517,0.0909890883491728
46573,2021-09-02,3812,1186,0.31112277019937
46574,2021-09-02,9436,2903,0.307651547265791
46580,2021-09-02,22013,8579,0.389724253849998
46582,2021-09-02,13459,5449,0.404859202020953
46590,2021-09-02,4925,1799,0.365279187817259
46595,2021-09-02,133,0,0
46601,2021-09-02,5714,2480,0.434021701085054
46613,2021-09-02,11327,3630,0.320473205614902
46614,2021-09-02,31035,15153,0.488255195746738
46615,2021-09-02,13719,6707,0.488884029448211
46616,2021-09-02,5457,2786,0.510536925050394
46617,2021-09-02,9689,6692,0.690680152750542
46619,2021-09-02,21471,8634,0.402123794886125
46628,2021-09-02,26396,11542,0.437263221700258
46635,2021-09-02,6363,3611,0.567499607103568
46637,2021-09-02,16090,9253,0.575077688004972
46701,2021-09-02,8102,2687,0.3316465070353
46702,2021-09-02,2074,742,0.357762777242044
46703,2021-09-02,18264,7603,0.416283399036356
46704,2021-09-02,38,0,0
46705,2021-09-02,1682,507,0.301426872770511
46706,2021-09-02,18771,8019,0.427201534281605
46710,2021-09-02,4291,1661,0.387089256583547
46711,2021-09-02,8770,1992,0.227137970353478
46714,2021-09-02,14931,5407,0.362132476056527
46721,2021-09-02,5084,1395,0.274390243902439
46723,2021-09-02,7884,2798,0.354895991882293
46725,2021-09-02,23286,9531,0.409301726359186
46730,2021-09-02,1039,477,0.459095283926853
46731,2021-09-02,759,211,0.277997364953887
46732,2021-09-02,3244,808,0.249075215782984
46733,2021-09-02,18943,6969,0.367893153143641
46737,2021-09-02,7329,2990,0.407968344931096
46738,2021-09-02,8549,2614,0.305766756345771
46740,2021-09-02,3874,752,0.194114610221993
46741,2021-09-02,4553,926,0.203382385240501
