zcta,downloadDate,cases
47118,2021-08-12,282
47283,2021-08-12,313
47305,2021-08-12,329
47564,2021-08-12,
47615,2021-08-12,133
46051,2021-08-12,303
46160,2021-08-12,634
47433,2021-08-12,360
47448,2021-08-12,647
47520,2021-08-12,256
47970,2021-08-12,228
47031,2021-08-12,585
47037,2021-08-12,396
47042,2021-08-12,495
47137,2021-08-12,
47432,2021-08-12,520
47512,2021-08-12,390
47633,2021-08-12,301
47634,2021-08-12,263
46914,2021-08-12,399
46928,2021-08-12,513
46929,2021-08-12,377
46938,2021-08-12,320
47368,2021-08-12,311
47390,2021-08-12,457
47438,2021-08-12,417
47452,2021-08-12,454
47327,2021-08-12,435
47338,2021-08-12,261
47355,2021-08-12,225
47406,2021-08-12,1510
46542,2021-08-12,559
46555,2021-08-12,333
46770,2021-08-12,308
46773,2021-08-12,437
47885,2021-08-12,1101
46050,2021-08-12,161
46115,2021-08-12,182
46124,2021-08-12,872
47043,2021-08-12,555
47124,2021-08-12,458
47138,2021-08-12,394
47164,2021-08-12,325
47232,2021-08-12,240
47320,2021-08-12,434
47383,2021-08-12,279
47394,2021-08-12,1005
47553,2021-08-12,741
47665,2021-08-12,496
47838,2021-08-12,465
47874,2021-08-12,358
46936,2021-08-12,817
46994,2021-08-12,345
47126,2021-08-12,477
47136,2021-08-12,494
46940,2021-08-12,320
46962,2021-08-12,919
47022,2021-08-12,352
47143,2021-08-12,440
47987,2021-08-12,422
46071,2021-08-12,365
46075,2021-08-12,788
46157,2021-08-12,399
46978,2021-08-12,220
46996,2021-08-12,692
47102,2021-08-12,687
47229,2021-08-12,346
46710,2021-08-12,588
46792,2021-08-12,463
46932,2021-08-12,423
47106,2021-08-12,531
47353,2021-08-12,614
47405,2021-08-12,109
47454,2021-08-12,790
47638,2021-08-12,516
47648,2021-08-12,648
47868,2021-08-12,192
47918,2021-08-12,689
46148,2021-08-12,547
47462,2021-08-12,496
47713,2021-08-12,1284
47946,2021-08-12,224
47975,2021-08-12,
47954,2021-08-12,256
47993,2021-08-12,536
46001,2021-08-12,1175
46048,2021-08-12,192
46504,2021-08-12,441
46554,2021-08-12,463
46573,2021-08-12,569
46590,2021-08-12,660
46933,2021-08-12,757
47032,2021-08-12,412
47040,2021-08-12,578
47041,2021-08-12,613
46539,2021-08-12,229
46553,2021-08-12,496
46617,2021-08-12,1398
46742,2021-08-12,341
46767,2021-08-12,1243
46772,2021-08-12,246
46819,2021-08-12,992
46926,2021-08-12,189
46201,2021-08-12,2701
