zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47470,0.813677776810983,108,98,1536,0,0,0,44,0.135084427767355,rural
47036,0.71518333670398,116,78,846,0,0,36,0,0.520504731861199,rural
47060,0.860756365804762,837,240,5832,0,0,110,0,0.226109415355717,rural
47120,0.744487388174146,0,9,709,0,0,32,0,0,rural
47136,0.707161754083823,698,233,4240,47,120,45,30,0.270046388336647,rural
47959,0.73533672771238,722,25,1942,18,0,929,17,0.0986225895316804,rural
47964,0.754010695187166,16,7,110,0,0,0,0,0.0123456790123457,rural
47968,0.831883639629377,166,0,1004,0,0,23,3,0.214384508990318,rural
47993,0.7680067204727,627,32,3503,5,14,85,54,0.17706315381635,rural
47143,0.741849478776569,463,160,3050,13,0,0,0,0.34973209936678,rural
47164,0.729156859630717,572,162,4020,8,9,24,54,0.108449767132402,rural
47167,0.74414437578039,2361,206,14365,26,41,144,303,0.13284954039671,rural
47223,0.787270968830767,100,0,1024,0,0,0,0,0.11734693877551,rural
47229,0.766985123932465,705,66,3136,0,88,20,17,0.117591275486012,rural
47234,0.776022379443514,248,0,1446,0,0,11,0,0.117260787992495,rural
47246,0.773913155947237,816,115,4366,45,55,61,73,0.181114089961275,rural
47264,0.797142421518082,177,0,1197,0,0,0,0,0.0270562770562771,rural
47359,0.755127058420817,612,5,2808,0,87,29,89,0.084533209475151,rural
47371,0.751454228326701,2247,171,11464,53,132,399,152,0.117596141956226,rural
47247,0.825670498084291,16,4,181,0,0,13,0,0.0774193548387097,rural
47263,0.882747068676717,52,7,250,0,0,5,0,0.0395480225988701,rural
47303,0.464806855534184,2584,210,20219,3062,355,827,661,0.219643240919837,suburban
47305,0.346430114092045,425,89,2715,425,0,139,225,0.175154320987654,urban
47334,0.719819582876069,514,39,3082,26,2,47,32,0.221508140531277,rural
47345,0.758241227994517,202,100,1317,0,7,28,54,0.120507399577167,rural
47352,0.78930962647434,174,5,846,0,0,14,0,0.231292517006803,rural
47885,0.634269804793763,1497,135,8635,68,8,69,140,0.159403855499757,rural
47933,0.726807803207549,4418,369,24826,241,302,1622,530,0.195114196385989,rural
47951,0.666353092619332,300,23,1973,29,0,158,8,0.134422110552764,rural
47960,0.71100316361016,2096,247,13409,117,42,816,337,0.173195299384443,rural
47965,0.840308365252873,148,17,599,0,0,0,0,0.140664961636829,rural
47966,0.693517437009845,65,2,317,0,0,14,28,0.130597014925373,rural
47971,0.758732584251533,404,35,1831,11,0,109,6,0.154679040989946,rural
47118,0.710933407558438,574,85,3372,4,0,62,36,0.131567706108501,rural
47122,0.704553528907501,1949,167,10469,53,102,141,178,0.356832515767344,suburban
47135,0.786289846038695,68,35,778,0,0,17,143,0.103496503496504,rural
47170,0.694104893209075,1812,548,14188,40,69,393,229,0.142680842984621,rural
47172,0.685932342947902,3410,675,15801,395,184,801,632,0.279270146984288,suburban
47177,0.751458468165648,113,58,1090,51,0,100,0,0.173863636363636,rural
47203,0.650303286547652,4133,788,22770,342,1548,1146,1001,0.367397531952402,suburban
47336,0.680617870838438,559,26,3085,21,0,124,13,0.118202247191011,rural
47339,0.775134446141057,40,18,490,0,0,6,1,0.0649717514124294,rural
47356,0.759451509336282,822,83,5072,12,127,33,42,0.188361408882083,suburban
47373,0.687151709963382,379,19,2327,0,22,55,0,0.0793742757821553,rural
47384,0.824115363276368,404,11,1917,0,0,20,107,0.19047619047619,rural
47387,0.810686132555419,69,4,702,6,15,2,5,0.133466135458167,rural
47401,0.280260350176135,4751,971,35051,1095,4599,1208,1326,0.597387717690193,suburban
47404,0.392330987405695,2585,300,20251,863,835,772,1111,0.351835455969489,suburban
47420,0.767123287671233,149,25,439,0,0,0,0,0.0452830188679245,rural
47438,0.81042375623621,826,111,4279,31,0,53,112,0.131453804347826,rural
47465,0.785483745031038,74,5,493,2,0,4,21,0.125,rural
47469,0.741314663152166,394,13,1773,24,12,12,7,0.181114551083591,rural
47501,0.784924410801753,2713,646,15318,619,0,1604,341,0.156883848000662,rural
47527,0.764361909992522,326,59,1870,65,0,0,0,0.243557772236077,rural
47552,0.648236870723834,13,0,245,0,0,0,25,0.307392996108949,rural
47561,0.826655190381412,260,100,1623,0,2,12,13,0.191885038038884,rural
47562,0.882400921231933,565,461,4583,6,89,3,74,0.119165487977369,rural
47580,0.741928707662358,82,0,406,0,0,0,0,0.05859375,rural
47581,0.825655588320234,613,28,3632,22,0,34,33,0.105561861520999,rural
47586,0.571472721469137,1818,197,10453,142,91,180,156,0.17567920585162,suburban
47916,0.841961852861035,11,0,40,0,0,3,0,0,rural
47920,0.620781401708088,397,31,2170,0,0,88,2,0.281102891728312,rural
47929,0.774192359601311,96,17,669,0,0,0,4,0.140425531914894,rural
47944,0.72825179290044,516,72,3278,10,0,45,69,0.180225281602002,rural
47137,0.718167316182706,186,12,1472,10,0,1,16,0.104938271604938,rural
47112,0.720048778680245,2550,601,15745,88,14,449,297,0.226603119584056,rural
47126,0.777138374206304,628,60,4516,15,0,22,145,0.183497170092344,rural
47138,0.729896149115495,655,262,4143,8,48,108,71,0.0968561448078755,rural
47142,0.796360779583418,189,0,1049,0,0,0,0,0.0401034928848642,rural
47145,0.689631787231182,331,10,1836,0,0,22,55,0.17339312406577,rural
47147,0.759976125752811,248,62,1238,0,0,35,0,0.0641183723797781,rural
47166,0.710875571092045,278,0,1423,0,26,38,28,0.0278670953912112,rural
47224,0.852050683382161,129,0,512,0,0,0,8,0.0512820512820513,rural
47244,0.781767025693925,103,26,734,0,0,0,0,0.226611226611227,rural
47274,0.742069885672815,4766,1114,26523,448,861,3008,512,0.186600169379881,suburban
47020,0.733963720929114,386,8,1432,0,0,0,0,0.102781136638452,rural
47034,0.877682403433476,30,3,132,0,0,3,0,0,rural
47994,0.830940988835726,51,3,309,0,0,0,0,0.0704225352112676,rural
47713,0.208941577634004,1550,262,4989,3901,9,554,655,0.191625266146203,urban
47840,0.80305573045484,480,60,1831,0,0,0,0,0.261392949269132,rural
47855,0.755495956120864,79,5,519,0,0,0,7,0.0267379679144385,rural
47862,0.749950054821145,251,23,1196,20,0,142,32,0.105648535564854,rural
47874,0.744047879519236,591,116,3088,0,0,6,113,0.123385300668151,rural
47926,0.80138787262164,291,40,1459,5,1,0,15,0.126646403242148,rural
47394,0.722180342225678,1280,145,7888,99,0,77,270,0.159133549377452,rural
47380,0.797602788912993,297,0,1439,0,0,9,28,0.108882521489971,rural
47385,0.768052930419726,170,20,1215,8,6,0,48,0.151187904967603,rural
47615,0.750656401817915,184,18,1770,11,0,9,42,0.0876325088339223,rural
47471,0.809262889286409,335,133,2691,2,3,50,0,0.153846153846154,rural
47520,0.612229794434937,493,9,2690,25,0,24,47,0.117283950617284,rural
47553,0.831051815123933,1381,445,8570,11,10,7,16,0.137794567368232,rural
47528,0.812470981807768,84,20,492,0,0,12,0,0.186246418338109,rural
47542,0.718557155287877,2156,226,7709,120,164,1993,75,0.175093052109181,rural
47550,0.708208287169768,108,10,548,0,0,13,0,0.143617021276596,rural
47578,0.808375907867333,52,2,689,0,3,18,0,0.205432937181664,rural
47584,0.704268292682927,2,0,139,0,0,0,0,0.0280373831775701,rural
47598,0.769524521243075,510,32,2966,0,0,50,42,0.116824762855716,rural
47601,0.676834898512027,2390,221,13087,44,150,332,241,0.193178326334119,rural
