zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47424,0.767072337447182,1242,159,8796,62,14,62,31,0.173117629271243,rural
47449,0.759116403630033,32,2,248,0,0,0,152,0.0255591054313099,rural
47468,0.511874675250019,221,58,1479,0,0,31,0,0.369369369369369,rural
47514,0.677865612648221,14,0,1127,385,0,38,6,0.0432900432900433,rural
47515,0.691557631071035,205,8,874,0,6,0,0,0.137870855148342,rural
47521,0.727416798732171,262,0,692,0,0,0,0,0.442970822281167,rural
47523,0.683006668540726,729,0,2949,0,0,377,20,0.138082673702727,rural
47551,0.630978619027775,200,34,914,0,0,0,0,0.32597623089983,rural
47557,0.806098422565039,355,22,1563,0,0,20,3,0.141164856860809,rural
47567,0.787480794294392,1184,17,5971,53,0,42,50,0.152027027027027,rural
47575,0.739794528005094,104,0,955,0,0,0,0,0.214824120603015,rural
47620,0.674961296211108,2036,607,12313,332,28,261,195,0.225542275343072,rural
47660,0.723478808721413,827,57,4690,39,27,90,22,0.20320197044335,rural
47017,0.823176261976152,70,0,458,0,0,0,23,0.0552631578947368,rural
47024,0.874536193791529,827,115,3533,25,0,51,99,0.0586605080831409,rural
47035,0.859567901234568,15,0,246,0,0,0,0,0,rural
47117,0.760635909853947,755,175,4356,92,49,11,23,0.131955484896661,rural
47125,0.752105304897922,207,109,1526,0,0,28,0,0.158366533864542,rural
47165,0.77592492111756,1087,114,5821,0,7,147,59,0.161950770646423,rural
47201,0.667149735373262,6948,1623,35141,852,4498,3431,909,0.35399598591781,rural
47001,0.758595471630251,1146,92,9559,37,66,52,295,0.161030383091149,rural
47010,0.766750158673148,0,0,220,0,0,0,0,0,rural
47011,0.761988121957505,103,60,747,0,0,41,0,0.0648148148148148,rural
47012,0.815289093025231,1075,285,9064,8,168,98,58,0.222043325526932,rural
47016,0.85258337709695,113,56,793,0,0,3,0,0.169491525423729,rural
47023,0.813956855852292,263,90,1645,0,0,13,7,0.163669064748201,rural
47115,0.703932145501048,528,81,2779,0,2,127,117,0.188528678304239,rural
47130,0.507349453011532,6612,1237,35049,6127,834,2307,2328,0.224163784925177,suburban
47140,0.666133229138969,441,3,2428,27,0,29,75,0.0776589758019133,rural
47162,0.775275448746381,109,0,801,0,0,0,0,0.181328545780969,rural
47226,0.774445893089961,23,0,226,24,3,7,0,0.055,rural
47220,0.808847937955808,795,259,5426,25,24,63,133,0.172448466566114,rural
47231,0.779361905537395,120,95,798,34,0,18,8,0.116071428571429,rural
47235,0.805934074417424,465,28,1452,36,0,0,0,0.184581976112921,rural
47265,0.752740980964433,3237,301,18996,395,63,653,237,0.122903412377097,rural
47273,0.813017755264665,375,58,2200,0,0,10,0,0.18956043956044,rural
47344,0.781641168289291,37,0,123,0,0,0,1,0.0579710144927536,rural
47361,0.799628942486085,51,0,205,0,0,9,1,0.15,rural
47390,0.727564126959979,867,23,4156,0,0,666,138,0.102399063779988,rural
47955,0.812891787156281,167,0,940,11,0,52,13,0.158518518518519,rural
47980,0.756545739388705,140,12,980,0,6,7,12,0.211413748378729,rural
47338,0.722290192544312,529,26,2711,11,0,34,33,0.107692307692308,rural
47341,0.791817577631485,510,20,2347,0,1,6,28,0.0947176684881603,rural
47348,0.72635387081552,1340,150,8826,4,0,167,162,0.15430174563591,rural
47360,0.757369087363529,158,25,1138,8,0,105,8,0.148606811145511,rural
47832,0.784577322774835,163,1,1040,0,0,0,19,0.210462287104623,rural
