ncesID,corpID,corpName,firstDay2122,enrollment2021,maskMandate,maskMandateDate,virtual,virtualDate,vote16Trump,population,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
1806030,0875,Logansport Community Sch Corp,2021-08-11,4274,TRUE,2021-09-07,FALSE,,0.64167294350432,23189,3870,516,16449,392,412,5206,730,0.12111801242236,urban
1806060,5525,Loogootee Community Sch Corp,2021-08-10,760,FALSE,,FALSE,,0.79345572274536,5810,1002,58,5597,55,18,83,57,0.15729218516675,rural
1802520,5455,Culver Community Schools Corp,2021-08-11,758,FALSE,,FALSE,,0.658760288950857,7226,1124,209,6678,88,16,275,169,0.193793911007026,rural
1802550,3325,Danville Community School Corp,2021-08-11,2455,FALSE,,FALSE,,0.785512145356353,14645,2577,660,13328,591,462,235,29,0.302446416973371,suburban
1802610,1655,Decatur County Community Schools,2021-08-05,1865,TRUE,2021-09-07,FALSE,,0.831259104718694,12340,2373,180,12009,77,11,156,87,0.183611716291455,rural
1808040,7935,Tri-Central Community Schools,2021-08-06,774,FALSE,,FALSE,,0.806673595443505,4632,810,29,4320,4,20,253,35,0.267189952904239,suburban
1808070,8010,North Vermillion Com Sch Corp,2021-08-09,730,FALSE,,FALSE,,0.747938382155904,4399,833,67,4183,9,22,87,98,0.100326797385621,rural
1807410,2400,New Albany-Floyd Co Con Sch,2021-08-03,11532,TRUE,2021-08-12,FALSE,,0.584615389293473,77320,12251,2203,67904,3937,827,2535,2117,0.295920094802776,suburban
1813200,4760,School City of Whiting,2021-08-12,1182,TRUE,2021-07-01,FALSE,,0.318131475591747,4167,801,90,2246,99,35,1685,102,0.193990110308102,suburban
1813230,4455,Whitko Community School Corp,2021-08-12,1266,FALSE,,FALSE,,0.812290575270371,10946,1615,385,10114,18,94,520,200,0.143271221532091,rural
1801170,6340,Cannelton City Schools,2021-08-03,264,TRUE,2021-08-12,TRUE,2021-08-24,0.598692584577921,1470,254,2,1383,25,0,15,47,0.0697435897435897,suburban
1801200,3060,Carmel Clay Schools,2021-08-12,16395,TRUE,2021-08-16,FALSE,,0.550603495476028,96649,17740,4277,77729,2466,9972,3550,2932,0.706267351148472,suburban
1801230,3640,Medora Community School Corp,2021-08-10,171,FALSE,,FALSE,,0.805555555555556,1422,243,3,1403,0,0,0,19,0.0615384615384615,rural
1801290,0750,Carroll Consolidated School Corp,2021-08-11,1043,FALSE,,FALSE,,0.804913094084055,6584,1051,114,6331,163,0,71,19,0.140974084003575,rural
1801410,2650,Caston School Corporation,2021-08-16,681,FALSE,,FALSE,,0.7946417713335,4213,680,22,4000,14,67,32,100,0.143049478290138,rural
1801440,4205,Center Grove Community School Corp,2021-08-05,8959,TRUE,2021-09-13,FALSE,,0.714522564405899,45403,7560,1786,41746,450,1824,559,824,0.458349993335999,suburban
1801560,8360,Centerville-Abington Com Schs,2021-08-09,1781,TRUE,2021-08-17,FALSE,,0.750739245374081,8078,1461,134,7723,45,90,41,179,0.200826297826477,rural
1801590,1835,DeKalb Co Ctl United Sch Dist,2021-08-09,3529,FALSE,,FALSE,,0.732091013105489,24759,3926,1049,23703,148,101,479,328,0.211535038272118,rural
1801710,6055,Central Noble Com School Corp,2021-08-11,1250,FALSE,,FALSE,,0.793863043975497,8763,1364,99,8372,39,0,233,119,0.128633370804561,rural
1801740,6325,Perry Central Com Schools Corp,2021-08-10,1269,TRUE,2021-08-12,FALSE,,0.654477274754646,7322,1108,91,6830,385,10,67,30,0.168413311270454,rural
1802640,5300,MSD Decatur Township,2021-08-02,6777,FALSE,,FALSE,,0.668855162342849,34228,7296,323,26924,3879,255,2385,785,0.142199274351102,suburban
1802660,1875,Delaware Community School Corp,2021-08-04,2634,FALSE,,FALSE,,0.679241139844109,14344,2244,163,13681,196,12,214,241,0.261043004475579,rural
1802700,0755,Delphi Community School Corp,2021-08-12,1397,FALSE,,FALSE,,0.735365471394162,9641,1430,310,8833,26,0,710,72,0.167868177136972,rural
1802800,6470,Duneland School Corporation,2021-08-11,5844,TRUE,2021-09-07,FALSE,,0.537046600957959,36175,6068,1046,31025,803,543,2984,820,0.315235792019347,suburban
1802830,0630,Zionsville Community Schools,2021-08-03,7450,TRUE,2021-07-01,FALSE,,0.572405373822992,30702,6970,941,26478,635,1816,1109,664,0.707030056036679,suburban
1802850,0255,East Allen County Schools,2021-08-11,9896,FALSE,,FALSE,,0.645995910556238,69560,10503,4382,53967,7469,3138,2985,2001,0.198056750176349,rural
1802910,4680,Lake Station Community Schools,2021-08-16,1177,TRUE,2021-09-07,FALSE,,0.468538246014683,8008,1776,114,5051,532,27,2020,378,0.129313687475766,suburban
1802940,2725,East Gibson School Corporation,2021-08-10,796,FALSE,,FALSE,,0.738103487133551,6706,1134,60,6448,39,27,90,102,0.187701569554934,rural
1802970,6060,East Noble School Corporation,2021-08-05,3480,FALSE,,FALSE,,0.734232526983196,23355,4122,478,21713,145,230,874,393,0.160745150758594,rural
1803000,8215,East Washington School Corp,2021-08-04,1478,FALSE,,FALSE,,0.785246710564906,9643,1778,161,9360,0,52,158,73,0.146637102734664,rural
1803030,2815,Eastbrook Community Sch Corp,2021-08-10,1636,FALSE,,FALSE,,0.769994689319969,10308,1425,242,9697,92,115,155,249,0.279522613065327,rural
1803060,1805,DeKalb Co Eastern Com Sch Dist,2021-08-04,1299,FALSE,,FALSE,,0.829300453347297,7870,1531,232,7347,17,10,418,78,0.132768905137579,rural
1803090,2940,Eastern Greene Schools,2021-08-04,1121,FALSE,,FALSE,,0.742848039881162,7940,1285,126,7843,16,0,26,55,0.155111425539441,rural
